Configuration,Mean Reward,Std Reward,Learning Rate,Gamma,Hidden Size,Entropy Coef
REINFORCE_Baseline,-2.4475086552625656,50.02228411499126,0.001,0.99,128,0.0
REINFORCE_HighLR,116.51802630130733,183.3726274028916,0.005,0.99,128,0.0
REINFORCE_LowLR,39.1235402507957,64.53888558749674,0.0001,0.99,128,0.0
REINFORCE_HighGamma,58.00452816737817,136.91704925442244,0.001,0.995,128,0.0
REINFORCE_LowGamma,65.14583566653825,36.035983498003546,0.001,0.95,128,0.0
REINFORCE_LargeNet,89.95138382190041,198.31944038096364,0.001,0.99,256,0.0
REINFORCE_SmallNet,50.82287524201936,140.1429554334659,0.001,0.99,64,0.0
REINFORCE_HighEntropy,-10.083099936567255,44.73771565385231,0.001,0.99,128,0.01
REINFORCE_VeryHighEntropy,49.54832342839511,27.0835831895832,0.001,0.99,128,0.05
REINFORCE_Balanced,67.2133891141447,148.08782713866657,0.0005,0.98,128,0.001
